ISBN/UPC	Manufacturer	Product Name	Referring Product URL	Condition	Quantity	Price	Shipping costs
693892210000	Cushman Bolton Television Productions	The Best of Courchevel Ski the French Alps	http://www.travelvideostore.com/product_info.php?products_id=3620&ref=115122	New	4	3.47	0.60
693892214008	Cushman Bolton Television Productions	A Sportsman's Paradise Casa de Campo Dominican Republic	http://www.travelvideostore.com/product_info.php?products_id=3621&ref=115122	New	7	3.47	0.60
008941001155	International Video Projects	 Orlando & Central Florida Attractions, Restaurants & Hotels	http://www.travelvideostore.com/product_info.php?products_id=3628&ref=115122	New	2	21.95	0.30
008941001162	International Video Projects	 Peru & The Potter of Nazca	http://www.travelvideostore.com/product_info.php?products_id=3629&ref=115122	New	2	21.95	0.30
008941001186	International Video Projects	 Bermuda Hotels, Restaurants & Attractions	http://www.travelvideostore.com/product_info.php?products_id=3631&ref=115122	New	1	21.95	0.30
008941001131	International Video Projects	 Things for Kids to Do in Florida 	http://www.travelvideostore.com/product_info.php?products_id=3634&ref=115122	New	1	21.95	0.30
008941001315	International Video Projects	 Dive Pennekamp 	http://www.travelvideostore.com/product_info.php?products_id=3649&ref=115122	New	1	24.95	0.30
008941001353	International Video Projects	 Fish Key West 	http://www.travelvideostore.com/product_info.php?products_id=3652&ref=115122	New	1	21.95	0.30
008941001339	International Video Projects	 Dive Cayman 	http://www.travelvideostore.com/product_info.php?products_id=3651&ref=115122	New	1	21.95	0.30
008941001261	International Video Projects	A VIP Tour Miami's MetroZoo	http://www.travelvideostore.com/product_info.php?products_id=3654&ref=115122	New	1	21.95	0.30
008941001230	International Video Projects	 Everglades National Park 	http://www.travelvideostore.com/product_info.php?products_id=3657&ref=115122	New	4	21.95	0.30
008941001421	International Video Projects	 Fish Guatemala 	http://www.travelvideostore.com/product_info.php?products_id=3658&ref=115122	New	1	21.95	0.30
008941001223	International Video Projects	The Grand Prix of Miami 	http://www.travelvideostore.com/product_info.php?products_id=3659&ref=115122	New	1	21.95	0.30
008941001345	International Video Projects	 Dive Key West 	http://www.travelvideostore.com/product_info.php?products_id=3660&ref=115122	New	2	21.95	0.30
008941001308	International Video Projects	 Dive Miami 	http://www.travelvideostore.com/product_info.php?products_id=3662&ref=115122	New	2	21.95	0.30
008941001469	International Video Projects	 John Pennekamp Coral Reef State Park	http://www.travelvideostore.com/product_info.php?products_id=3663&ref=115122	New	1	21.95	0.30
008941001483	International Video Projects	 Bahia Honda State Park	http://www.travelvideostore.com/product_info.php?products_id=3664&ref=115122	New	1	21.95	0.30
008941001360	International Video Projects	 Fish Costa Rica 	http://www.travelvideostore.com/product_info.php?products_id=3665&ref=115122	New	2	21.95	0.30
008941001117	International Video Projects	 Travel Florida State and National Parks	http://www.travelvideostore.com/product_info.php?products_id=3667&ref=115122	New	4	21.95	0.30
012236114567	Discovery Channel Video	Inside the Space Station Narated by Liam Neeson	http://www.travelvideostore.com/product_info.php?products_id=3679&ref=115122	New	2	3.47	0.50
