Date,Title ID,Title Name,Qty Bought,Discount Code,Channel,Royalty
3/1/2010,Ca-88FN-WWg,OKAVANGO DELTA Botswana,1,,YouTube,1.1
5/1/2010,Cb3SbJudJkU,Terra Mystica S1E116 - MONUMENT VALLEY U.S.A.,1,,YouTube,1.1
3/1/2010,cBoSUH61_dE,AMSTERDAM Holland,1,,YouTube,1.1
4/1/2010,cBoSUH61_dE,AMSTERDAM Holland,1,,YouTube,1.1
11/1/2010,cDXtX6WdmjI,Great Chefs of Austria S1E112 - Chef Harald Fargel Vienna Restaurant Figlmuller,1,,YouTube,1.1
12/1/2010,cDXtX6WdmjI,Great Chefs of Austria S1E112 - Chef Harald Fargel Vienna Restaurant Figlmuller,1,,YouTube,1.1
2/1/2010,ceESYYQPwxU,Buenos Aires Argentina,1,,YouTube,1.1
9/1/2010,cGUOVtyMANY,Extremists S3E324 - Facing the Void,1,,YouTube,1.1
4/1/2010,CGxq5TGP60k,Alaska,1,,YouTube,1.1
8/1/2010,CGxq5TGP60k,Equitrekking S4E406 - Alaska,1,,YouTube,1.1
12/1/2010,CH68pr2uXwk,Let's Shop S2E208 - Copenhagen,1,,YouTube,1.1
4/1/2010,cJvWvK5kZrM,SOUTH KOREA,1,,YouTube,1.1
5/1/2010,cJvWvK5kZrM,7 Days S1E166 - SOUTH KOREA,2,,YouTube,1.1
8/1/2010,cJvWvK5kZrM,7 Days S1E166 - SOUTH KOREA,1,,YouTube,1.1
9/1/2010,cmBwGLmL9Ng,Destination Seattle,1,,YouTube,1.1
2/1/2010,CMJ3lfDa098,Tahiti/Moorea,1,,YouTube,1.1
9/1/2010,Cn5tVhgXlmw,"Global Treasures S1E1176 - ALBAICIN El Albayzin Granada Andalucia, Spain",1,,YouTube,1.1
3/1/2010,CQzJO8BlCeE,Back in Time,1,,YouTube,1.1
10/1/2010,cRJmq7fGc7g,"North America's National Parks Grand Canyon, Yosemite, Olympic, Death Valley and More..",1,,YouTube,1.1
2/1/2010,Cu9z_8G8Uy4,The Minoans,2,,YouTube,1.1
4/1/2010,Cu9z_8G8Uy4,The Minoans,1,,YouTube,1.1
11/1/2010,Cu9z_8G8Uy4,Legacy of Ancient Civilizations S1E5 - The Minoans,1,,YouTube,1.1
12/1/2010,CUValYxTIVg,Island Hoppers S1EBAHA - Eleuthera Bahamas,1,,YouTube,1.1
10/1/2010,cxhfOJHbde8,The Seasoned Traveler S1E106 - Mexican Heritage,1,,YouTube,1.1
8/1/2010,cXKYUb0Wg3M,Vista Point S1E240 - KOLKATA India,1,,YouTube,1.1
