UPC,product url,price,condition,category,format,stock,shipping rate,shipping weight
879061000775,http://www.travelvideostore.com/product_info.php?products_id=4232&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
622306904099,http://www.travelvideostore.com/product_info.php?products_id=4398&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
827912010992,http://www.travelvideostore.com/product_info.php?products_id=4239&ref=115123,15.99,New,Movies,DVD,Y,$0.00,0.32
822170020790,http://www.travelvideostore.com/product_info.php?products_id=4240&ref=115123,16.95,New,Movies,DVD,Y,$0.00,0.32
827912010824,http://www.travelvideostore.com/product_info.php?products_id=4241&ref=115123,34.95,New,Movies,DVD,Y,$0.00,0.32
879061000287,http://www.travelvideostore.com/product_info.php?products_id=4242&ref=115123,19.95,New,Movies,DVD,Y,$0.00,0.32
033937032882,http://www.travelvideostore.com/product_info.php?products_id=4246&ref=115123,19.99,New,Movies,DVD,Y,$0.00,0.32
723876051838,http://www.travelvideostore.com/product_info.php?products_id=4304&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
097278035230,http://www.travelvideostore.com/product_info.php?products_id=4317&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.60
715098763422,http://www.travelvideostore.com/product_info.php?products_id=4342&ref=115123,3.47,New,Movies,VHS,Y,$0.00,0.50
727994828907,http://www.travelvideostore.com/product_info.php?products_id=4353&ref=115123,4.96,New,Movies,VHS,Y,$0.00,1.12
